id,date,customerId,companyId,amount,remark,isUsed,createdBy,createdAt,updatedAt,deletedAt
2,2023-04-01 00:00:00+00,10,14,275.0,LAIQ MEDICAL / MD REAZ UDDIN ,True,2,2023-04-02 20:56:03.681+00,2023-04-02 20:56:03.88+00,
3,2023-04-01 00:00:00+00,7,9,2801.0,PREVIOUS BALANCE,True,2,2023-04-02 21:05:59.441+00,2023-04-02 21:08:58.53+00,
5,2023-04-03 23:34:12.538+00,4,6,850.0,CASH,True,1,2023-04-03 19:34:28.346+00,2023-04-03 19:42:20.074+00,
8,2023-04-03 00:00:00+00,1,1,1810.0,WORK,True,1,2023-04-03 20:32:13.681+00,2023-04-27 07:52:15.895+00,
4,2023-04-03 23:21:16.38+00,8,11,2000.0,DEPOSIT AMEER ACCOUNT,True,1,2023-04-03 19:22:03.372+00,2023-04-03 20:58:04.656+00,
32,2023-04-10 00:00:00+00,17,22,450.0,OUTSTANDING AMOUNT OF PREVIOUS WORK,True,2,2023-04-11 07:15:47.274+00,2023-04-11 09:30:12.245+00,
10,2023-04-04 00:00:00+00,19,24,200.0,JOB OFFER BIKRAM,True,2,2023-04-05 06:26:53.924+00,2023-04-05 06:27:26.687+00,
9,2023-04-04 10:18:18.289+00,19,26,880.0,VISIT VISA 4 Nos,True,2,2023-04-05 06:18:16.949+00,2023-04-05 06:18:17.053+00,
11,2023-04-05 00:00:00+00,19,29,90.0, ,True,2,2023-04-06 05:44:17.648+00,2023-04-06 05:44:17.681+00,
13,2023-04-05 00:00:00+00,23,32,400.0,ADVANCE FOR EID AND MED OF MD ALI & MAKSUD SHARDER ,True,2,2023-04-06 06:00:10.968+00,2023-04-06 06:02:03.067+00,
14,2023-04-06 00:00:00+00,4,6,150.0,CASH,True,2,2023-04-07 05:47:20.614+00,2023-04-07 05:50:19.427+00,
15,2023-04-06 00:00:00+00,1,1,575.0,WORK,True,2,2023-04-07 06:27:28.61+00,2023-04-27 07:52:25.255+00,
16,2023-04-06 00:00:00+00,1,2,3125.0,WORK,True,2,2023-04-07 06:27:51.479+00,2023-04-27 07:52:33.835+00,
17,2023-04-06 00:00:00+00,21,27,270.0,CASH,True,2,2023-04-07 07:11:10.135+00,2023-04-07 07:15:16.868+00,
62,2023-04-18 00:00:00+00,1,1,2475.0,WORK,True,2,2023-04-19 12:59:06.777+00,2023-04-27 07:52:49.203+00,
18,2023-04-06 00:00:00+00,8,11,1100.0,CASH,True,2,2023-04-07 07:13:21.646+00,2023-04-07 07:18:36.169+00,
20,2023-04-06 00:00:00+00,19,24,200.0,CASH,True,2,2023-04-07 07:14:39.26+00,2023-04-07 07:52:02.616+00,
12,2023-04-05 00:00:00+00,25,30,500.0,SURAJ VISA PROCESSING ADVANCE,True,2,2023-04-06 05:48:20.899+00,2023-04-08 06:17:04.623+00,
19,2023-04-06 00:00:00+00,25,30,2000.0,ADVANCE FOR SURAJ VISA PROCESS,True,2,2023-04-07 07:14:05.955+00,2023-04-08 06:18:13.793+00,
21,2023-04-07 00:00:00+00,19,34,70.0, ,True,2,2023-04-08 06:20:27.685+00,2023-04-08 06:20:27.73+00,
22,2023-04-07 00:00:00+00,27,35,400.0, ,True,2,2023-04-08 06:25:56.215+00,2023-04-08 06:25:56.241+00,
23,2023-04-08 00:00:00+00,28,36,20.0, ,True,2,2023-04-10 08:21:11.345+00,2023-04-10 08:21:11.373+00,
25,2023-04-08 00:00:00+00,1,2,1125.0,BALANCE AMOUNT,True,2,2023-04-10 09:15:30.456+00,2023-04-10 09:38:32.979+00,
29,2023-04-08 00:00:00+00,3,5,561.0,BALANCE,True,2,2023-04-10 09:21:25.104+00,2023-04-10 09:39:26.467+00,
30,2023-04-08 00:00:00+00,3,4,1439.0,BALANCE,True,2,2023-04-10 09:22:08.186+00,2023-04-10 09:39:48.985+00,
24,2023-04-08 00:00:00+00,10,13,2545.0,OLD BALANCE AND PENDING WORKS,True,2,2023-04-10 09:14:13.525+00,2023-04-10 09:54:08.76+00,
27,2023-04-08 00:00:00+00,10,13,850.0,MD ALIM VISA STAMPING & EMIRATES ID,True,2,2023-04-10 09:17:37.234+00,2023-04-10 09:54:59.232+00,
